Class,precision,recall,f1-score,support
0,0.42857142857142855,0.2727272727272727,0.3333333333333333,11.0
1,0.6190476190476191,0.7647058823529411,0.6842105263157895,17.0
accuracy,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
macro avg,0.5238095238095238,0.5187165775401069,0.5087719298245614,28.0
weighted avg,0.5442176870748299,0.5714285714285714,0.5463659147869674,28.0
