Feature,Importance_Mean,Importance_STD,Importance_CV,Fold_Rank_Consistency,Governance_Status,Retention_Decision
Status_Bekerja,0.13434336525028562,0.2550582943715403,1.8985551976933082,15.2964359372029,Dominant Driver,Retain - Dominant
Suka_Olahraga,0.06837514459099188,0.08494304682202256,1.2423088438077456,11.853068720598817,Dominant Driver,Retain - Dominant
Jenis_Ga_Masalah_Internet/Sinyal,0.05318152933195317,0.09121194471734623,1.7151057117596495,9.63228697563317,Dominant Driver,Retain - Dominant
Jenis_Ke_Hobi_&_Hiburan,0.048226077899466584,0.10041588226835339,2.0821905210223215,7.629516617029143,Dominant Driver,Retain - Dominant
Pengaruh_Fisik_Belajar,0.04764393786343922,0.05695625759889508,1.1954565502571926,8.299741820425156,Regular Feature,Retain - Regular
Angkatan_2022,0.047123477866780596,0.09487098553923333,2.013242439521045,13.00256384974389,Regular Feature,Retain - Regular
Uang_Saku,0.044420768314921436,0.08725359590517523,1.9642522904284339,8.729806630706308,Regular Feature,Retain - Regular
Angkatan_2024,0.04344998277393967,0.08576783187022871,1.9739439786767958,6.099960967868878,Regular Feature,Retain - Regular
Pekerjaan_Ayah_Pendidik,0.035476790756493015,0.08016983456542612,2.2597826031023764,9.414780679234926,Regular Feature,Retain - Regular
Beban_Finansial,0.032312678621580715,0.050837198840166894,1.5732895262423148,9.429942180300445,Regular Feature,Retain - Regular
Jenis_Fa_Ruang_Kelas,0.03193798224957982,0.04718225152590513,1.4773084647990207,11.683117653059824,Regular Feature,Retain - Regular
Tujuan_B_Biaya_Hidup_Mandiri,0.03032107025055232,0.08001790187649209,2.6390197052834736,9.195236862222796,Regular Feature,Retain - Regular
Sumber_P_Ayah,0.028561884560945713,0.050629270626029545,1.772616597409606,12.982772467866058,Regular Feature,Retain - Regular
Pengaruh_Ekonomi_Keluarga,0.02655740975238841,0.047880298030094554,1.802897890890451,8.531175322366337,Regular Feature,Retain - Regular
Frekuensi_Gangguan,0.023892139035380202,0.03554318716566078,1.4876519474889776,9.88842517193473,Regular Feature,Retain - Regular
